"","labels","tcdiff","twopath","density","mutual","balance","ctri","cycle4","idegreesquare","intransitive","simmelianties","nearsimmelian","simmelian","odegreesquare","diff_degree_pop","sum_degree_pop","istar2","istar3","ostar2","ostar3"
"1251",0,546.750000000001,708.750000000001,0.222222222222222,13.5,36,182.25,2050.3125,84.2400000000001,294.687156000986,0,0,0,100.44,-16.2,184.68,324,1913.625,121.5,1366.875
"1252",0,333.333333333334,622.222222222223,0.3,16.6666666666667,56.6666666666667,185.185185185185,864.197530864198,79.4117647058824,311.672120928783,0,587.889476778366,0,81.3725490196079,-1.96078431372548,160.78431372549,300,1037.03703703704,133.333333333333,555.555555555556
"1253",0,437.5,625,0.4,17.5,27.5,187.5,546.875,88.0952380952381,338.203463203463,0,488.28125,0,89.2857142857142,-1.19047619047619,177.380952380952,350,890.624999999999,300,812.499999999999
"1254",0,318.116209593501,615.296566077003,0.344444444444444,23.2258064516129,58.0645161290323,195.763821288309,497.303255692074,84.2622637907998,333.630984120295,0,629.251952059018,0,85.8083603741172,-1.54609658331742,170.070624164917,328.720083246618,978.819106441543,210.718002081165,758.584807492196
"1255",0,448.357866251179,664.565992865636,0.322222222222222,18.6206896551724,40.3448275862069,239.124195333962,649.345875260328,94.5491539944314,315.69064200425,72.240443927377,424.751804054644,893.443449908045,94.5491539944314,0,189.098307988863,385.25564803805,1195.62097666981,327.467300832343,896.715732502358
"1256",0,459,702,0.333333333333333,18,42,270,1134,85.0909090909091,337.990909090909,0,1093.5,0,86.7272727272727,-1.63636363636364,171.818181818182,333,1026,216,675
"1257",0,432,747,0.333333333333333,21,51,324,1134,98.1818181818182,364.5,0,1093.5,0,78.5454545454545,19.6363636363636,176.727272727273,405,891,432,432
"1258",0,580.678197542103,694.970414201184,0.288888888888889,6.92307692307693,6.92307692307693,165.908056440601,1435.74279612059,100.36138358286,310.070147770818,0,0,0,79.4527620030976,20.9086215797625,179.814145585958,419.378698224852,1036.92535275376,359.467455621302,456.247155211653
"1259",0,508.138915084669,626.040428061831,0.322222222222222,12.4137931034483,15.5172413793103,149.452622083726,556.582178794567,98.0188477189977,295.102121873538,0,0,0,94.5491539944314,3.4696937245663,192.568001713429,404.518430439953,1195.62097666981,356.361474435196,1255.4020255033
"1260",0,233.28,660.96,0.277777777777778,3.6,3.6,373.248,1175.7312,86.0275862068966,308.73487175506,0,0,0,101.668965517241,-15.6413793103448,187.696551724138,336.96,1539.648,207.36,1492.992
"1261",0,414.770141101502,647.041420118343,0.288888888888889,3.46153846153846,3.46153846153846,124.431042330451,287.148559224117,91.9979349509551,317.821901465088,0,0,0,85.7253484770264,6.27258647392875,177.723283427981,371.449704142012,1161.35639508421,311.538461538462,539.201183431953
"1262",0,489.44091796875,696.09375,0.355555555555556,16.875,22.5,222.47314453125,938.558578491211,93.6416184971098,348.662449802179,0,1092.28800083029,0,86.3258670520231,7.3157514450867,179.967485549133,379.6875,956.634521484375,340.13671875,645.172119140625
"1263",0,421.875000000001,717.187500000001,0.266666666666667,7.5,22.5,158.203125,988.769531250002,83.7765957446809,341.843180917854,0,0,0,81.3829787234043,2.3936170212766,165.159574468085,323.4375,1160.15625,182.8125,474.609375000001
"1264",0,807.525762814273,682.726326742976,0.344444444444444,8.70967741935484,8.70967741935484,97.8819106441543,355.216611208624,91.9927467073869,282.30314040948,0,0,0,101.269326207291,-9.27657949990456,193.262072914678,370.863683662851,1223.52388305193,278.147762747138,1345.87627135712
